Failure Cause,Count
"kubectl dry-run failed: The ReplicationController ""zulip-1"" is invalid: spec.template.spec.container...",2
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": StatefulSet in ...",1
environment variable PL\_VIZIER\_IMAGE\_SECRET\_FILE must use secretKeyRef,1
"kubectl dry-run failed: The Deployment ""istiod"" is invalid: spec.template.spec.containers[0].resourc...",1
"kubectl dry-run failed: The StatefulSet ""release-name-redis-master"" is invalid: spec.template.spec.c...",1
"kubectl dry-run failed: The StatefulSet ""release-name-redis-replicas"" is invalid: spec.template.spec...",1
"kubectl dry-run failed: The StatefulSet ""release-name-harbor-trivy"" is invalid: spec.template.spec.c...",1
environment variable JX\_SECRET\_TMP\_DIR must use secretKeyRef,1
"kubectl dry-run failed: The Deployment ""ueransim-gnb-deployment"" is invalid: spec.template.spec.init...",1
environment variable AWS\_SECRET\_ACCESS\_KEY must use secretKeyRef,1
environment variable AAA\_SECRET\_DATA\_WITH\_CM\_ENV must use secretKeyRef,1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": ReplicationCont...",1
environment variable NEO4J\_PASSWORD must use secretKeyRef,1
"kubectl dry-run failed: The Pod ""buildkitd"" is invalid: spec.containers[0].securityContext.procMount...",1
environment variable JWT\_SECRET must use secretKeyRef,1
"kubectl dry-run failed: The Deployment ""dss"" is invalid:  * spec.template.spec.volumes[1].name: Requ...",1
