Failure Cause,Count
"kubectl dry-run failed: The Deployment ""motive-back-end-deployment"" is invalid: spec.template.spec.containers[0].env[2].valueFrom.secretKeyRef.name: Invalid value: ""\$APP\_DATABASE\_NAME-postgresql"": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')",5
"kubectl dry-run failed: The Deployment ""controller-manager"" is invalid:  * spec.template.spec.affinity.nodeAffinity.preferredDuringSchedulingIgnoredDuringExecution[0].preference.matchExpressions[0].key: Invalid value: ""\$\{K8S\_CP\_LABEL:=node-role.kubernetes.io/control-plane\}"": prefix part a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*') * spec.template.spec.affinity.nodeAffinity.preferredDuringSchedulingIgnoredDuringExecution[0].preference.matchExpressions[0].key: Invalid value: ""\$\{K8S\_CP\_LABEL:=node-role.kubernetes.io/control-plane\}"": name part must consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyName',  or 'my.name',  or '123-abc', regex used for validation is '([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9]')",5
"kubectl dry-run failed: The StatefulSet ""release-name-redis"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""redis-db""",4
"kubectl dry-run failed: The StatefulSet ""release-name-mariadb"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data""",4
"kubectl dry-run failed: The Pod ""component-nodejs-dependence-npm"" is invalid: spec.containers[0].resources.requests: Invalid value: ""4G"": must be less than or equal to memory limit of 256Mi",4
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""batch/v1, Resource=jobs"", GroupVersionKind: ""batch/v1, Kind=Job"" Name: """", Namespace: ""e2e"" from server for: ""STDIN"": resource name may not be empty",4
"kubectl dry-run failed: The Deployment ""openmcp-analytic-engine"" is invalid: spec.template.spec.containers[0].imagePullPolicy: Unsupported value: ""REPLACE\_DOCKERIMAGEPULLPOLICY"": supported values: ""Always"", ""IfNotPresent"", ""Never""",4
"kubectl dry-run failed: The Pod ""dnstest3"" is invalid: spec.containers[0].resources.requests: Invalid value: ""1G"": must be less than or equal to memory limit of 256Mi",4
"kubectl dry-run failed: The Job ""demojob2-workerpool"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""6"": must be less than or equal to cpu limit of 500m",4
"kubectl dry-run failed: The StatefulSet ""statefulset-blobfuse"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""persistent-storage""",4
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""cockroachdb-client-secure"" is forbidden: error looking up service account default/cockroachdb: serviceaccount ""cockroachdb"" not found",4
"kubectl dry-run failed: The Deployment ""web"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 64M",4
"kubectl dry-run failed: The StatefulSet ""eventstore"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""eventstore-pv-storage""",4
"kubectl dry-run failed: The StatefulSet ""orders-view-app"" is invalid: spec.template.spec.containers[0].volumeMounts[1].name: Not found: ""rocksdb""",4
"kubectl dry-run failed: The Deployment ""notification"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""300Mi"": must be less than or equal to memory limit of 256Mi",4
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""dummy-name"" is forbidden: error looking up service account default/RELEASE-NAME-worker-serviceaccount: serviceaccount ""RELEASE-NAME-worker-serviceaccount"" not found",4
